index,title,release_date,vote_average
408,Children of Heaven,1997-08-01,7.9
409,A Trip to the Moon,1902-06-15,7.911
410,Tokyo Godfathers,2003-12-05,7.91
411,What Ever Happened to Baby Jane?,1962-10-31,7.91
412,In the Name of the Father,1993-12-12,7.908
413,Amarcord,1973-12-18,7.907
414,Pather Panchali,1955-08-26,7.9
415,A Street Cat Named Bob,2016-11-04,7.9
416,My Father's Violin,2022-01-21,7.9
417,Titanic,1997-11-18,7.906
418,Divorce Italian Style,1961-12-20,7.9
419,Mulan,1998-06-18,7.906
420,La Strada,1954-09-23,7.9
421,Miraculous World: Shanghai - The Legend of Ladydragon,2021-05-15,7.904
422,Dragon Ball Super: Super Hero,2022-06-11,7.904
423,Guardians of the Galaxy,2014-07-30,7.904
424,On the Waterfront,1954-06-22,7.904
425,Simone: Woman of the Century,2022-10-12,7.9
426,Dogman,2023-09-27,7.902
427,My Hero Academia: Two Heroes,2018-08-03,7.902
428,Diabolique,1955-01-29,7.902
429,Harry Potter and the Philosopher's Stone,2001-11-16,7.902
430,"Remi, Nobody's Boy",2018-12-12,7.9
431,A Whisker Away,2020-06-18,7.9
432,Ne Zha,2019-07-26,7.9
433,The Boy Who Harnessed the Wind,2019-02-14,7.9
434,Ron's Gone Wrong,2021-10-14,7.9
435,La La Land,2016-12-01,7.899
436,Dragon Ball Super: Broly,2018-12-14,7.899
437,Captain Fantastic,2016-07-08,7.898
438,V for Vendetta,2006-02-23,7.897
439,In This Corner of the World,2016-11-12,7.896
440,La Maison en Petits Cubes,2008-06-10,7.9
441,Faust,1926-10-13,7.895
442,Persepolis,2007-06-27,7.895
443,Return of the Jedi,1983-05-25,7.895
444,Rebecca,1940-03-23,7.9
445,Bad Genius,2017-05-03,7.893
446,A Separation,2011-02-15,7.893
447,Young Woman and the Sea,2024-05-31,7.9
448,Thirteen Lives,2022-07-18,7.89
449,The Mitchells vs. the Machines,2021-04-22,7.889
450,Gone Girl,2014-10-01,7.89
451,Death Note Relight 1: Visions of a God,2007-08-31,7.9
452,Winter Light,1963-02-11,7.9
453,The Notebook,2004-05-25,7.89
454,The Pursuit of Happyness,2006-12-14,7.89
